tick,len,raw,comp,ratio
1107,6,24,16,1.5
1108,6,24,16,1.5
1109,6,24,16,1.5
1110,6,24,16,1.5
1111,6,24,16,1.5
1112,6,24,16,1.5
1113,6,24,16,1.5
1114,6,24,16,1.5
1115,6,24,16,1.5
1116,6,24,16,1.5
1117,6,24,16,1.5
1118,6,24,16,1.5
1119,6,24,16,1.5
1120,6,24,16,1.5
1121,6,24,16,1.5
1122,6,24,16,1.5
1123,6,24,16,1.5
1124,6,24,16,1.5
1125,6,24,16,1.5
1126,6,24,16,1.5
1127,6,24,16,1.5
1128,6,24,16,1.5
1129,6,24,16,1.5
1130,6,24,16,1.5
1131,6,24,16,1.5
1132,6,24,16,1.5
1133,6,24,16,1.5
1134,6,24,16,1.5
1135,6,24,16,1.5
1136,6,24,16,1.5
1137,6,24,16,1.5
1138,6,24,16,1.5
1139,6,24,16,1.5
1140,6,24,16,1.5
1141,6,24,16,1.5
1142,6,24,16,1.5
1143,6,24,16,1.5
1144,6,24,16,1.5
1145,6,24,16,1.5
